,ingredient,name,url
54,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1 teaspoon olive oil
55,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,2 tablespoons minced shallots
56,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1 cup merlot or other dry red wine
57,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1/4 cup  ready-to-serve beef broth
58,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,2 teaspoons  fresh thyme
59,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1 tablespoon butter
60,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,2 teaspoons  all-purpose flour
61,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1/4 teaspoon salt
62,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1/4 teaspoon pepper
63,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,5 pounds beef back ribs
64,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1 tablespoon vegetable oil
65,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1-1/2 cups finely chopped onion
66,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1 tablespoon minced garlic
67,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1 to 1-1/2 teaspoon crushed red pepper flakes
68,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1-1/2 cups chili sauce
69,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,½ cup water
70,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,3 tablespoons fresh lemon juice
71,http://www.beefitswhatsfordinner.com/recipes/recipe/1332/spicy-beef-back-ribs,spicy beef back ribs,1/2 teaspoon salt
72,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,4 beef ribeye steaks boneless
73,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,2 tablespoons minced garlic
74,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,2 tablespoons chopped fresh thyme
75,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,1/2 teaspoon pepper
76,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,8 medium portobello mushrooms
77,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,1/4 cup olive oil
78,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,salt
79,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,chopped fresh parsley 
80,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,1/2 cup crumbled blue cheese
81,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,1/4 cup butter
82,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,3 tablespoons chopped rehydrated sun-dried tomatoes
83,http://www.beefitswhatsfordinner.com/recipes/recipe/1632/ribeye-steaks-with-blue-cheese-butter-and-mushrooms,ribeye steaks with blue cheese butter and mushrooms,1 tablespoon chopped fresh parsley
84,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,2 beef strip steaks boneless
85,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,salt
86,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,2 tablespoons chopped fresh thyme
87,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,1 tablespoon chopped fresh oregano
88,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,2 teaspoons freshly grated lemon peel
89,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,3 cloves garlic
90,http://www.beefitswhatsfordinner.com/recipes/recipe/1685/garden-herb-strip-steaks,garden herb strip steaks,1/4 teaspoon pepper
91,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,4 beef strip filets
92,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,2 cloves garlic
93,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/2 cup packed fresh cilantro
94,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/2 cup packed fresh parsley
95,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/4 cup olive oil
96,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,2 tablespoons fresh lemon juice
97,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/2 teaspoon salt
98,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/2 teaspoon freshly grated lemon peel
99,http://www.beefitswhatsfordinner.com/recipes/recipe/1926/chimichurri-marinated-strip-filets,chimichurri-marinated strip filets,1/4 teaspoon crushed red pepper
100,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad,confetti beef taco salad,1 pound  ground beef
101,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad,confetti beef taco salad,1  package 
102,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad,confetti beef taco salad,3 cups coarsely crushed tortilla chips
103,http://www.beefitswhatsfordinner.com/recipes/recipe/402/confetti-beef-taco-salad,confetti beef taco salad,1 cup  shredded cheddar cheese
